Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"In stock?",Stock,"Regular price","Sale price",Categories,Images,"Meta: product_benefit","Meta: product_instructions","Meta: product_ingredient"
simple,DERMA-001,"(Dermalogica) Light Energy Masque Professional",1,1,visible,"Mặt nạ tái tạo năng lượng ánh sáng chuyên nghiệp cho spa","<p>Primary Package: Reawakening, rich cream with potent peptides and phytoactives moisturizes for a redensified, lifted look and visibly reduces signs of skin aging.</p><p>Carton: Transformative eye cream with potent peptides and phytoactives delivers a more lifted look. See an immediate lift and reduced signs of skin aging overtime. Quinoa Seed Extract helps to visibly reduce eyelid folds and refine skin's texture.</p>",1,25,85.00,65.00,Cosmetics,https://course.homenest.edu.vn/images/anh-san-pham.png,"<ul><li>Enhances the effectiveness of red light therapy.</li><li>Supports skin energy by boosting ATP production.</li><li>Helps soothe and reduce inflammation or redness.</li></ul>","<h4>Red light therapy with a light-energy mask</h4><ul><li>Scoop one teaspoon into a cup and apply a thick layer to the skin.</li><li>Proceed with red light therapy over the mask layer.</li><li>Wipe off any excess product using a specialized wet wipe.</li></ul>","<p>Water/Aqua/Eau, Butylene Glycol, Glycerin, Propanediol, Carbomer, Palmitoyl Tripeptide-38, Laminaria Digitata Extract, Olea Europaea (Olive) Leaf Extract.</p>"
simple,DERMA-002,"(Dermalogica) Barrier Repair/ Salon size: 4 oz (118ml) Professional",1,1,visible,"Kem phục hồi hàng rào bảo vệ da chuyên sâu dung tích salon","<p>Unique waterless moisturizer that melts into sensitized skin to soothe and reinforce the protective lipid barrier.</p><p>Contains our exclusive UltraCalming Complex to help minimize discomfort, burning and itching.</p>",1,18,185.00,165.00,Cosmetics,https://course.homenest.edu.vn/images/anh-san-pham.png,"<ul><li>Reinforces the skin's natural protective barrier against environmental assault.</li><li>Creates a smooth, even base for makeup application.</li><li>Soothes sensitivity and redness instantly.</li></ul>","<h4>Daily Barrier Application</h4><ul><li>Apply a small amount evenly over face and throat with light, upward strokes.</li><li>Best used after toner and concentrated booster.</li><li>Use morning and night.</li></ul>","<p>Cyclopentasiloxane, Dimethicone Crosspolymer, Dimethicone, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Tocopheryl Acetate, Bisabolol, Avena Sativa (Oat) Kernel Oil.</p>"
simple,DERMA-003,"(Dermalogica) Stabilizing Repair Cream Pro / Size: 6 oz (177ml) Professional",1,0,visible,"Kem dưỡng phục hồi và cân bằng da nhạy cảm chuyên nghiệp","<p>Breakthrough formula with proprietary ceramide-building complex that helps skin produce its own ceramides to stop sensitivity cycles.</p>",1,12,285.00,225.00,Cosmetics,https://course.homenest.edu.vn/images/anh-san-pham.png,"<ul><li>Helps prevent future sensitivity before it starts.</li><li>Relieves redness and discomfort in as little as 1 week.</li><li>Strengthens skin's moisture barrier.</li></ul>","<h4>Professional Treatment Finishing</h4><ul><li>Rub cream between palms before gently pressing into face and neck.</li><li>Use twice daily for optimal barrier restoration.</li></ul>","<p>Water/Aqua/Eau, Butylene Glycol, Carthamus Tinctorius (Safflower) Seed Oil, Meadowfoam Seed Oil, Squalane, Ceramide NP, Phytosterols.</p>"
simple,DERMA-004,"(Dermalogica) Pro Restore 12 × 0.1oz (3 ml tubes) vials Professional",1,1,visible,"Huyết thanh cô đặc phục hồi tái tạo da sau xâm lấn cao cấp","<p>Concentrated liquid recovery serum designed to accelerate post-microneedling, laser, and chemical peel recovery by up to 50%.</p>",1,30,85.00,65.00,Cosmetics,https://course.homenest.edu.vn/images/anh-san-pham.png,"<ul><li>Significantly decreases client downtime after invasive clinical treatments.</li><li>Enhances treatment results with deep tissue bio-peptides.</li><li>Locks in immediate hydration and diminishes redness.</li></ul>","<h4>Post-Procedure Application</h4><ul><li>Apply 1/2 vial immediately post-procedure in circular motion.</li><li>Send remainder with client for home application over the next 48 hours.</li></ul>","<p>Panthenol, Sodium Hyaluronate, Hydrolyzed Collagen, Glutathione, Centella Asiatica Extract, Beta-Glucan.</p>"
simple,DERMA-005,"(Dermalogica) Exo Booster/ 3 pack Professional",1,0,visible,"Bộ 3 tinh chất tăng cường Exosome tái sinh tế bào thế hệ mới","<p>High-potency exosome infusion booster designed to deliver targeted cellular signals for accelerated dermal rejuvenation and firmness.</p>",1,8,585.00,465.00,Cosmetics,https://course.homenest.edu.vn/images/anh-san-pham.png,"<ul><li>Maximizes collagen density and cellular turnover.</li><li>Visibly softens deep dynamic expression lines.</li><li>Boosts micro-circulation and skin glow.</li></ul>","<h4>Microneedling & Infusion Protocol</h4><ul><li>Mix 1 booster vial with sterile meso-cocktail.</li><li>Infuse using microchanneling device at 0.5mm - 1.0mm depth.</li></ul>","<p>Lactobacillus Extracellular Vesicles, Oligopeptide-1, Sodium DNA, Niacinamide, Adenosine, Palmitoyl Pentapeptide-4.</p>"
simple,DERMA-006,"(Dermalogica) Daily Microfoliant Exfoliator Pro Refill 177g",1,1,visible,"Bột tẩy tế bào chết enzyme gạo tái tạo da mịn màng","<p>Iconic rice-based enzyme powder that activates upon contact with water, releasing Papain, Salicylic Acid and Rice Enzymes to micro-exfoliate dead cells.</p>",1,22,95.00,78.00,Cosmetics,https://course.homenest.edu.vn/images/anh-san-pham.png,"<ul><li>Removes dulling surface debris and evens skin tone.</li><li>Reveals brighter, smoother skin instantly.</li><li>Gentle enough for daily use on all skin types.</li></ul>","<h4>Daily Polish Ritual</h4><ul><li>Dispense half-teaspoon into very wet hands.</li><li>Rub hands together to create a creamy paste.</li><li>Apply to face in circular motions for 1 minute, then rinse thoroughly.</li></ul>","<p>Microcrystalline Cellulose, Magnesium Oxide, Sodium Cocoyl Isethionate, Colloidal Oatmeal, Papain, Oryza Sativa (Rice) Bran Extract, Salicylic Acid.</p>"
simple,DERMA-007,"(Dermalogica) Dynamic Skin Recovery SPF50 Pro Size 118ml",1,0,visible,"Kem dưỡng chống lão hóa ban ngày kiêm chống nắng phổ rộng SPF50","<p>Medium-weight, emollient daily moisturizer with Broad Spectrum SPF 50 that shields against UVA/UVB rays while enhancing skin firmness.</p>",1,15,160.00,135.00,Cosmetics,https://course.homenest.edu.vn/images/anh-san-pham.png,"<ul><li>Provides long-lasting hydration and critical UV defense.</li><li>Enhances skin elasticity with polypeptide technology.</li><li>Blends smoothly without leaving white residue.</li></ul>","<h4>Morning Defense Protocol</h4><ul><li>Apply a generous amount to cleansed face and neck 30 minutes prior to sun exposure.</li><li>Reapply every 2 hours if outdoors.</li></ul>","<p>Avobenzone 3.0%, Octinoxate 7.5%, Palmitoyl Tripeptide-5, Glucosamine HCl, Camellia Sinensis Leaf Extract, Hyaluronic Acid.</p>"
simple,DERMA-008,"(Dermalogica) Multivitamin Power Recovery Masque Pro 177ml",1,1,visible,"Mặt nạ phục hồi đa vitamin đặc trị da lão hóa mệt mỏi","<p>Ultra-replenishing antioxidant mask packed with concentrated vitamins A, C, E and F to help stressed, prematurely-aging skin recover from damage.</p>",1,20,140.00,118.00,Cosmetics,https://course.homenest.edu.vn/images/anh-san-pham.png,"<ul><li>Rescues stressed, dull and photodamaged skin.</li><li>Enhances barrier moisture and increases elasticity.</li><li>Provides intense soothing relief with oat kernel extracts.</li></ul>","<h4>Intensive Mask Therapy</h4><ul><li>Apply liberally to cleansed face and neck once to twice weekly.</li><li>Leave on for 10 to 15 minutes, then gently rinse with warm water.</li></ul>","<p>Retinyl Palmitate (Vitamin A), Ascorbyl Palmitate (Vitamin C), Tocopheryl Acetate (Vitamin E), Linoleic Acid (Vitamin F), Panthenol (Pro-Vitamin B5), Avena Sativa Protein.</p>"
simple,TAT-001,"Wireless Rotary Tattoo Machine Pen Professional",1,1,visible,"Máy xăm và điêu khắc chân mày không dây cao cấp","<p>High-precision wireless rotary tattoo machine pen engineered for master PMU artists and body tattoo specialists.</p>",1,15,350.00,299.00,"Tattoo machine",https://course.homenest.edu.vn/images/anh-san-pham.png,"<ul><li>Ultra-quiet motor with minimal vibration.</li><li>Battery life up to 8 hours on a single charge.</li><li>Universal cartridge needle compatibility.</li></ul>","<h4>Operation Guide</h4><ul><li>Press and hold power button for 2 seconds to turn on.</li><li>Rotate grip to adjust needle stroke depth (0 - 4.0mm).</li><li>Sanitize thoroughly after every client session.</li></ul>","<p>Aircraft grade aluminum casing, Coreless DC Motor, 1800mAh Lithium-ion battery pack.</p>"
simple,TAT-002,"Digital PMU Microblading & Shading Machine Master Kit",1,1,visible,"Bộ máy xăm kỹ thuật số phun thêu chân mày môi mí đa năng","<p>All-in-one digital permanent makeup console with ultra-fine stroke precision for ombre brows, nano strokes, and lip blushing.</p>",1,10,420.00,360.00,"Tattoo machine",https://course.homenest.edu.vn/images/anh-san-pham.png,"<ul><li>Preset speed modes for Eyebrows, Lips, Eyeliner, and Meso treatments.</li><li>Precise needle depth control with LCD touch display.</li><li>German magnetic drive motor for stable pigment implantation.</li></ul>","<h4>Master PMU Setup</h4><ul><li>Connect handpiece to digital console with provided magnetic cord.</li><li>Select desired procedure mode on touch screen.</li><li>Attach sterile membrane cartridge needle before operation.</li></ul>","<p>Medical-grade stainless steel pen, Intelligent Digital Touch Screen Unit, Swiss DC Micro Motor.</p>"
simple,TAT-003,"Ultra-Slim Wireless Lip & Eyebrow Rotary Device",1,0,visible,"Bút xăm tạo sợi siêu mảnh không dây thế hệ mới","<p>Featherlight 85g rotary PMU pen tailored specifically for delicate hair-stroke microblading and soft powder shading techniques.</p>",1,25,280.00,239.00,"Tattoo machine",https://course.homenest.edu.vn/images/anh-san-pham.png,"<ul><li>Slim 18mm grip design reduces wrist fatigue during long sessions.</li><li>Includes 2 quick-swap rechargeable batteries.</li><li>Direct drive system for crisp, clean pigment retention.</li></ul>","<h4>Usage & Maintenance</h4><ul><li>Insert charged battery cylinder into top compartment.</li><li>Adjust voltage between 4.5V and 9.0V via tactile click button.</li><li>Store in protective travel case when not in use.</li></ul>","<p>Anodized aluminum alloy body, 900mAh Li-Po battery modules, Stainless steel drive bar.</p>"
simple,TAT-004,"Dual-Engine Smart Scalp & Body Tattoo Gun Pro",1,0,visible,"Máy xăm body và cấy vi điểm chân tóc công suất lớn","<p>Heavy-duty multi-purpose tattoo machine with high torque output capable of handling thick lining and smooth color packing effortlessly.</p>",1,7,490.00,415.00,"Tattoo machine",https://course.homenest.edu.vn/images/anh-san-pham.png,"<ul><li>Dual custom eccentric cams (3.5mm and 4.2mm stroke).</li><li>Compatible with standard tattoo grips and all major cartridge brands.</li><li>RCA and Wireless Battery dual-mode support.</li></ul>","<h4>Technical Setup</h4><ul><li>Swap stroke wheel cam according to technique (Lining vs Shading).</li><li>Operate between 6.0V - 11.0V for optimal needle puncture force.</li></ul>","<p>CNC machined aerospace titanium frame, Brushless Custom 12V Motor.</p>"
simple,SCRUB-001,"Medical Grade Facial Scrub & Exfoliating Brush Set",1,0,visible,"Bộ cọ tẩy tế bào chết và làm sạch sâu da mặt chuẩn y khoa","<p>Professional grade exfoliating brush set designed to optimize active ingredient absorption before intensive facial treatments.</p>",1,40,45.00,35.00,"Scrub brush",https://course.homenest.edu.vn/images/anh-san-pham.png,"<ul><li>Ultra-soft micro bristles that prevent micro-tears on sensitive skin.</li><li>Enhances lymphatic drainage and microcirculation.</li><li>Waterproof ergonomic silicone grip.</li></ul>","<h4>Professional Cleansing Protocol</h4><ul><li>Dampen skin with warm water and apply chosen cleanser.</li><li>Gently massage in circular motions for 60 to 90 seconds.</li><li>Rinse and disinfect brush head in UV sterilizer.</li></ul>","<p>Hypoallergenic synthetic micro-bristles, Medical-grade antimicrobial silicone handle.</p>"
simple,SCRUB-002,"Sonic Vibrating Deep Pore Silicone Cleansing Brush",1,1,visible,"Máy rửa mặt sóng âm silicon y tế kháng khuẩn 8 cấp độ","<p>Advanced T-Sonic pulsation face brush with ultra-hygienic soft silicone touchpoints that channels 8,000 vibrations per minute for 99.5% dirt removal.</p>",1,35,65.00,49.00,"Scrub brush",https://course.homenest.edu.vn/images/anh-san-pham.png,"<ul><li>8 adjustable sonic vibration intensity levels.</li><li>100% waterproof IPX7 design with magnetic USB charging.</li><li>Non-porous silicone prevents 35x more bacteria buildup than nylon.</li></ul>","<h4>Sonic Routine</h4><ul><li>Apply cleanser directly to damp skin or silicone brush surface.</li><li>Turn on device, select desired sonic pulse and glide over face for 2 minutes.</li><li>Rinse and pat face dry.</li></ul>","<p>FDA-approved Food-Grade Silicone, IPX7 Waterproof ABS internal chamber, Lithium-ion rechargeable cell.</p>"
simple,SCRUB-003,"Dual-Sided Body & Back Dry Exfoliating Spa Brush",1,0,visible,"Bàn chải cọ lưng và toàn thân tẩy tế bào chết cán dài cao cấp","<p>Premium natural boar bristle and massage nodule body brush with an extended ergonomic lotus wood handle for spa dry brushing treatments.</p>",1,50,38.00,28.00,"Scrub brush",https://course.homenest.edu.vn/images/anh-san-pham.png,"<ul><li>Dual action: Natural bristles for deep exfoliation + Rubber nodes for cellulite massage.</li><li>Detachable handle converts easily into a handheld palm brush.</li><li>Stimulates blood circulation and lymphatic drainage.</li></ul>","<h4>Dry Brushing Protocol</h4><ul><li>Begin at feet and sweep upwards towards the heart with long, smooth strokes.</li><li>Use light pressure on delicate chest areas, firmer pressure on thighs and back.</li><li>Follow with a warm shower and rich body oil.</li></ul>","<p>100% Natural Boar Bristles, Sustainable Natural Lotus Wood Handle, Soft TPR Massage Nodules, Cotton Hanging Loop.</p>"
